Pair,Condtion,Game,Time,Time2,Time3
4,normal,24,14850.0,1238417594250.0,1238417609100.0
4,normal,25,10666.0,1238417614333.0,1238417624999.0
4,normal,26,11975.0,1238417630125.0,1238417642100.0
4,normal,27,9958.0,1238417647142.0,1238417657100.0
4,normal,28,5975.0,1238417662125.0,1238417668100.0
4,normal,29,10600.0,1238417673500.0,1238417684100.0
4,normal,30,14899.0,1238417688100.0,1238417702999.0
4,normal,31,8600.0,1238417707500.0,1238417716100.0
4,normal,32,6975.0,1238417721125.0,1238417728100.0
4,normal,33,15767.0,1238417733333.0,1238417749100.0
4,normal,34,7833.0,1238417754166.0,1238417761999.0
4,normal,35,8600.0,1238417766500.0,1238417775100.0
4,normal,36,7958.0,1238417780142.0,1238417788100.0
4,normal,37,8600.0,1238417793500.0,1238417802100.0
4,normal,38,12958.0,1238417807142.0,1238417820100.0
4,normal,39,7900.0,1238417825200.0,1238417833100.0
4,normal,40,19000.0,1238417838100.0,1238417857100.0
4,normal,41,10000.0,1238417862100.0,1238417872100.0
4,normal,42,13900.0,1238417877200.0,1238417891100.0
4,normal,43,8934.0,1238417896166.0,1238417905100.0
4,normal,44,11900.0,1238417910200.0,1238417922100.0
4,normal,45,7600.0,1238417927500.0,1238417935100.0
4,normal,46,12000.0,1238417940100.0,1238417952100.0
4,normal,47,8958.0,1238417957142.0,1238417966100.0
4,normal,48,11934.0,1238417971166.0,1238417983100.0
4,normal,49,9000.0,1238417987100.0,1238417996100.0
4,normal,50,9958.0,1238418001142.0,1238418011100.0
4,normal,51,7900.0,1238418016200.0,1238418024100.0
4,normal,52,8900.0,1238418029200.0,1238418038100.0
4,normal,53,4934.0,1238418043166.0,1238418048100.0
4,normal,54,5958.0,1238418053142.0,1238418059100.0
4,normal,55,5600.0,1238418064500.0,1238418070100.0
4,normal,56,10000.0,1238418075100.0,1238418085100.0
4,normal,57,6900.0,1238418090200.0,1238418097100.0
4,normal,58,7850.0,1238418102250.0,1238418110100.0
4,normal,59,4850.0,1238418115250.0,1238418120100.0
5,modified,1,31975.0,1238425500125.0,1238425532100.0
5,modified,2,48499.0,1238425537500.0,1238425585999.0
5,modified,3,42600.0,1238425590500.0,1238425633100.0
5,modified,4,21499.0,1238425638500.0,1238425659999.0
5,modified,5,8666.0,1238425664333.0,1238425672999.0
5,modified,6,22850.0,1238425677250.0,1238425700100.0
5,modified,7,18833.0,1238425705166.0,1238425723999.0
5,modified,8,19666.0,1238425728333.0,1238425747999.0
5,modified,9,23767.0,1238425752333.0,1238425776100.0
5,modified,10,7975.0,1238425782125.0,1238425790100.0
5,modified,11,9767.0,1238425795333.0,1238425805100.0
5,modified,12,28900.0,1238425810200.0,1238425839100.0
5,modified,13,14900.0,1238425844200.0,1238425859100.0
5,modified,14,6874.0,1238425864125.0,1238425870999.0
5,modified,15,3989.0,1238425876111.0,1238425880100.0
5,modified,16,22900.0,1238425885200.0,1238425908100.0
5,modified,17,12499.0,1238425913500.0,1238425925999.0
5,modified,18,8666.0,1238425930333.0,1238425938999.0
5,modified,19,8767.0,1238425943333.0,1238425952100.0
5,modified,20,6934.0,1238425957166.0,1238425964100.0
5,modified,21,15767.0,1238425969333.0,1238425985100.0
5,modified,22,9958.0,1238425990142.0,1238426000100.0
5,modified,23,6767.0,1238426005333.0,1238426012100.0
5,modified,24,17934.0,1238426017166.0,1238426035100.0
5,modified,25,7900.0,1238426040200.0,1238426048100.0
5,modified,26,6900.0,1238426053200.0,1238426060100.0
5,modified,27,6934.0,1238426065166.0,1238426072100.0
5,modified,28,6958.0,1238426077142.0,1238426084100.0
5,modified,29,6934.0,1238426089166.0,1238426096100.0
5,modified,30,6958.0,1238426101142.0,1238426108100.0
5,modified,31,5900.0,1238426113200.0,1238426119100.0
5,modified,32,19767.0,1238426124333.0,1238426144100.0
5,modified,33,8975.0,1238426149125.0,1238426158100.0
5,modified,34,10600.0,1238426163500.0,1238426174100.0
5,modified,35,9975.0,1238426179125.0,1238426189100.0
5,modified,36,11975.0,1238426194125.0,1238426206100.0
5,modified,37,12958.0,1238426211142.0,1238426224100.0
5,modified,38,5975.0,1238426229125.0,1238426235100.0
5,modified,39,13499.0,1238426240500.0,1238426253999.0
5,modified,40,10767.0,1238426258333.0,1238426269100.0
5,modified,41,3900.0,1238426274200.0,1238426278100.0
5,modified,42,10850.0,1238426283250.0,1238426294100.0
5,modified,43,10857.0,1238426299142.0,1238426309999.0
5,modified,44,5934.0,1238426314166.0,1238426320100.0
5,modified,45,6799.0,1238426325200.0,1238426331999.0
5,modified,46,19767.0,1238426336333.0,1238426356100.0
5,modified,47,7975.0,1238426361125.0,1238426369100.0
5,modified,48,5934.0,1238426374166.0,1238426380100.0
5,modified,49,9850.0,1238426385250.0,1238426395100.0
5,modified,50,4767.0,1238426400333.0,1238426405100.0
5,modified,51,5767.0,1238426410333.0,1238426416100.0
5,modified,52,5857.0,1238426421142.0,1238426426999.0
5,modified,53,10000.0,1238426431100.0,1238426441100.0
5,modified,54,4934.0,1238426446166.0,1238426451100.0
5,modified,55,4600.0,1238426456500.0,1238426461100.0
5,modified,56,7958.0,1238426466142.0,1238426474100.0
5,modified,57,4767.0,1238426478333.0,1238426483100.0
5,modified,58,12874.0,1238426488125.0,1238426500999.0
5,modified,59,13850.0,1238426505250.0,1238426519100.0
5,modified,60,14600.0,1238426524500.0,1238426539100.0
5,modified,61,8934.0,1238426544166.0,1238426553100.0
5,modified,62,13833.0,1238426558166.0,1238426571999.0
5,modified,63,13899.0,1238426576100.0,1238426589999.0
5,modified,64,6767.0,1238426594333.0,1238426601100.0
5,modified,65,16666.0,1238426606333.0,1238426622999.0
5,modified,66,10767.0,1238426627333.0,1238426638100.0
5,modified,67,5600.0,1238426643500.0,1238426649100.0
5,modified,68,11958.0,1238426654142.0,1238426666100.0
5,modified,69,9000.0,1238426671100.0,1238426680100.0
5,modified,70,5767.0,1238426685333.0,1238426691100.0
5,modified,71,7958.0,1238426696142.0,1238426704100.0
6,normal,0,154975.0,1238409720125.0,1238409875100.0
6,normal,1,35934.0,1238409880166.0,1238409916100.0
6,normal,2,18874.0,1238409921125.0,1238409939999.0
6,normal,3,40600.0,1238409944500.0,1238409985100.0
6,normal,4,17934.0,1238409990166.0,1238410008100.0
6,normal,5,18975.0,1238410013125.0,1238410032100.0
6,normal,6,15600.0,1238410037500.0,1238410053100.0
6,normal,7,18958.0,1238410058142.0,1238410077100.0
6,normal,8,25934.0,1238410082166.0,1238410108100.0
6,normal,9,18975.0,1238410113125.0,1238410132100.0
6,normal,10,31850.0,1238410137250.0,1238410169100.0
6,normal,11,29934.0,1238410174166.0,1238410204100.0
6,normal,12,23799.0,1238410209200.0,1238410232999.0
6,normal,13,17767.0,1238410237333.0,1238410255100.0
6,normal,14,13958.0,1238410260142.0,1238410274100.0
