"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Xratio","Zratio"
2,"modified",10,0.00346293751697892,0.00210434929126974,0.000686472707230061,"matcher",1,"envy",0,0,27,0.0184101164340973,0.0682630091905599,3.70790752111323,0.269693889156051
2,"modified",11,0.287646601573158,0.110398759979645,0.117436722725408,"director",1,"reality",1,1,27,2.0423840507865,5.32392268627882,2.60671967362292,0.383623912505392
2,"modified",12,0.00370011229829361,0.00273135745585933,0.00177295468011951,"matcher",1,"death",0,0,27,0.0210615098476402,0.0465911179780964,2.21214520303333,0.452049891945965
2,"modified",13,0.0402028969490969,0.0996040477434157,0.110163721774213,"director",0,"luck",0,0,27,3.21841845102608,0.526303172111511,0.16352850945896,6.11514165516786
2,"modified",14,0.00291004985286392,0.0045679714983202,0.00110083566061852,"matcher",0,"freedom",0,0,27,0.0391357615590095,0.0710379481315614,1.81516713363171,0.550913456657427
2,"modified",15,0.151568365880631,0.166395169792428,0.112024257844955,"director",1,"anger",1,1,27,6.7044274143409,5.89847582392394,0.879788154810505,1.13663726265488
2,"modified",16,0.01248506966277,0.00507637199442809,0.00609370450887515,"matcher",1,"anger",0,0,27,0.0304732620716096,0.0742131322622299,2.43535241116738,0.410618190375435
2,"modified",17,0.318175941850514,0.1047190124695,0.158940612262749,"director",1,"reality",0,0,27,1.79569198749959,3.53012773394585,1.96588711121965,0.508676207444889
2,"modified",18,0.0125665800958131,0.0155702015538453,0.0212268146920875,"matcher",1,"strength",0,0,27,0.063796028494835,0.0809620618820194,1.26907683428247,0.787974355047932
2,"modified",19,0.234786397428338,0.238439096531834,0.147311734736264,"director",1,"freedom",0,0,27,2.01118788489839,5.20460119470954,2.58782445627773,0.386424974682547
2,"modified",20,0.00442217983423618,0.0125133215815494,0.0242745879776634,"matcher",1,"war",0,0,27,0.0975290238857267,0.101925373077392,1.04507734227728,0.956866979644729
2,"modified",21,0.134811126878396,0.145624021182696,0.146397600060006,"director",1,"envy",1,1,27,3.99153536558151,3.09765100106597,0.776055005744559,1.28856845532564
2,"modified",22,0.00511447721450332,0.001889995800999,0.00140302519661244,"matcher",1,"strength",0,0,27,0.0270397961139679,0.0847523361444472,3.13435559155961,0.319044846951272
2,"modified",23,0.101155748863064,0.160181929181215,0.156156231155772,"director",0,"envy",0,0,27,3.98512736102566,2.08347135782242,0.522811737009627,1.91273441128118
2,"modified",24,0.00608590981660529,0.00252620671182856,0.000854426351793094,"matcher",1,"freedom",0,0,27,0.0167965739965439,0.0593713819980627,3.53473166672436,0.282906906177323
2,"modified",25,0.136571471396133,0.189454507672505,0.151086998656255,"director",1,"freedom",0,0,27,1.54226225614548,2.42544724047184,1.57265551355298,0.635867163140374
2,"modified",26,0.00523533010766621,0.00264091486725891,0.00103418120114636,"matcher",1,"death",0,0,27,0.0170694887638093,0.0699248164892194,4.09647983350702,0.244112028044306
2,"modified",27,0.226118278673766,0.122362874920705,0.101152391300235,"director",1,"fear",1,1,27,3.41356489062309,4.68473426997662,1.37238764168373,0.728657100681216
2,"modified",28,0.00632423007326684,0.00389761313138086,0.00390893351041384,"matcher",1,"strength",0,0,27,0.0333184450864793,0.097869411110878,2.93739431287547,0.340437780388116
2,"modified",29,0.0159326915319279,0.129390109481666,0.0884474371615243,"director",0,"luck",0,0,27,1.03453662991524,0.216601952910423,0.209370984696956,4.77621099909045
2,"modified",30,0.02082137519398,0.0144422220914142,0.0147441503477019,"matcher",1,"envy",0,0,27,0.0743138790130607,0.120672851800919,1.62382657726305,0.6158293096086
2,"modified",31,0.379304459700237,0.12816160882314,0.099415053307524,"director",1,"luxury",0,0,27,1.08423569798469,3.53300821781158,3.25852416073231,0.306887397690881
2,"modified",32,0.00597981846086041,0.00228596748264728,0.00106650670518287,"matcher",1,"fear",0,0,27,0.0302247554063795,0.0759172439575196,2.51175709900024,0.398127669430309
2,"modified",33,0.306947510712224,0.151043410102301,0.106705535769258,"director",1,"luxury",0,0,27,0.479277089238167,1.57859200611711,3.2936938601141,0.303610487941754
2,"modified",34,0.00342140871791967,0.00111425851358694,0.000817722950533164,"matcher",1,"freedom",0,0,27,0.0150938481092451,0.0470974892377853,3.12031026792549,0.320480950333455
2,"modified",35,0.220577936387717,0.156690676686512,0.0862532691503533,"director",1,"anger",0,0,27,3.90765817835927,5.59120473265648,1.4308326054773,0.698893774276563
2,"modified",36,0.0200582039152741,0.0311521983744789,0.0226110867689137,"matcher",1,"luxury",0,0,27,0.0962418913841246,0.134101949632168,1.39338439533503,0.717677048306227
2,"modified",37,0.376434190972892,0.167997120710573,0.113313977875903,"director",1,"luxury",0,0,27,0.977042309939861,2.79446598165669,2.86012791178786,0.349634712447144
2,"modified",38,0.0103355142842169,0.0324318672543869,0.0289447455257285,"matcher",0,"luck",0,0,27,0.221212431788445,0.253886997699738,1.14770673441419,0.871302720472766
2,"modified",39,0.151038481173828,0.0811061758740017,0.0759951011168906,"director",1,"war",1,1,27,5.4051802966278,3.21801104210317,0.595356836498281,1.67966493150849
2,"modified",40,0.0193831730141895,0.0457649884382697,0.0393283704218379,"matcher",1,"anger",0,0,27,0.142524242401123,0.12044183909893,0.84506212465916,1.18334495277886
