"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Zratio","Xratio"
14,"normal",32,0.0062503443279877,0.00116593348867395,0.00073565530133253,"matcher",1,"envy",0,0,14,0.0311911106109623,0.079717889428138,0.391268645403359,2.55578874450596
14,"normal",33,0.105475751567882,0.226930027312984,0.0640039321494399,"director",1,"death",0,0,14,1.46543700993061,2.17037747055292,0.675199143841683,1.48104453200325
14,"normal",34,0.0711807611729391,0.069890759160954,0.0454211323079183,"matcher",1,"freedom",0,0,14,0.492229759693145,0.837243549525738,0.587917052298548,1.70092021670464
14,"normal",35,0.170743115773026,0.10158960678588,0.0393152261143305,"director",0,"envy",0,0,14,1.81977964937687,3.72573479218408,0.488435100961678,2.04735490555675
14,"normal",36,0.0143261604470014,0.00283426660512291,0.00203402641850106,"matcher",1,"luxury",0,0,14,0.0357325375080117,0.0900831520557406,0.396661714122765,2.52103987956475
14,"normal",37,0.142301191450936,0.233385988942458,0.0698064952067077,"director",1,"reality",0,0,14,1.18087740242481,2.22867688536644,0.529855812737364,1.88730589711521
14,"normal",38,0.0189620402401335,0.00393060580642252,0.00339122464690276,"matcher",1,"reality",0,0,14,0.0371007323265075,0.108766436576843,0.341104604454849,2.93165201213919
14,"normal",39,0.123697831011801,0.218651750665399,0.0582432288339025,"director",1,"reality",0,0,14,1.13051331043243,2.1565118804574,0.524232359059691,1.90755107485865
14,"normal",40,0.00582197569451373,0.00138530629346231,0.00133693334475512,"matcher",1,"freedom",0,0,14,0.0294445157051084,0.0747594237327574,0.3938569110747,2.53899315178029
14,"normal",41,0.0990631367257324,0.189020279758973,0.050341427951357,"director",1,"freedom",0,0,14,0.644799470901489,1.32496921718121,0.486652416177081,2.05485469044938
14,"normal",42,0.00189701749462,0.00135723922607691,0.000677403087741716,"matcher",1,"luck",0,0,14,0.0194360315799714,0.0334452986717224,0.581128958384945,1.72078845077548
14,"normal",43,0.105774284709491,0.23493292797776,0.0686826999261993,"director",1,"freedom",0,0,14,0.849906459450722,1.34086851775646,0.633847724960224,1.5776659923529
14,"normal",44,0.011258674842068,0.00200079107765719,0.00319527120498003,"matcher",1,"fear",0,0,14,0.0251064598560334,0.0689298510551455,0.364232034042082,2.74550260970309
14,"normal",45,0.0955912369122023,0.201181972849376,0.0679896523373042,"director",1,"freedom",0,0,14,0.740194573998451,1.26494723558426,0.585158458136451,1.70893881152242
14,"normal",46,0.0188802515052366,0.0252579867022219,0.00803436917571398,"matcher",1,"fear",0,0,14,0.0811714231967929,0.186441145837307,0.435372904582045,2.29688156859461
14,"normal",47,0.177941740133245,0.290441446929527,0.0786629389516121,"director",1,"reality",0,0,14,1.33133152435767,2.2482568025589,0.59216167959211,1.68872798504762
14,"normal",48,0.0154360180670143,0.0154898829691842,0.00349922736009053,"matcher",1,"luck",0,0,14,0.0556486546993262,0.121783331036568,0.4569480422786,2.18843261700704
14,"normal",49,0.0974076414076729,0.218548279226836,0.0690100889429507,"director",1,"freedom",0,0,14,0.851222261786461,1.22511877119541,0.694807949890344,1.43924662945757
14,"normal",50,0.00142331777533671,0.000637639663098034,0.000498548190972941,"matcher",1,"strength",0,0,14,0.0225694775581352,0.0430107414722435,0.524740490063399,1.90570390304583
14,"normal",51,0.147187135707264,0.227532838188002,0.0766860253413191,"director",1,"reality",0,0,14,1.05690433084965,2.07752160727978,0.508733255599452,1.965666661248
14,"normal",52,0.00196302075786316,0.00126595411315688,0.000841418221946742,"matcher",1,"luxury",0,0,14,0.0155051648616792,0.0321711152791976,0.481959196226718,2.07486444460246
14,"normal",53,0.0496686106458378,0.150787607857315,0.0435091381485311,"director",1,"strength",0,0,14,0.601183161139488,0.393691092729568,1.52704283190996,0.654860478765511
14,"normal",54,0.00187342288047123,0.00082216340266527,0.000880537948413077,"matcher",1,"envy",0,0,14,0.0241561233997335,0.0479571968317029,0.503701738125042,1.98530186479474
14,"normal",55,0.0805824137459359,0.154107161778238,0.043057519714342,"director",1,"luck",0,0,14,0.437301844358445,1.0554238371551,0.414337661291783,2.41349047750643
14,"normal",56,0.00314195933456893,0.00112127173396958,0.00064759904901613,"matcher",1,"fear",0,0,14,0.0175475776195526,0.0295304358005523,0.594220069695834,1.68287819782303
14,"normal",57,0.024263961646415,0.0697599226149891,0.0429141336549523,"director",1,"anger",0,0,14,0.953231662511826,1.2800215035677,0.744699725633486,1.34282310786316
14,"normal",58,0.00111300535063646,0.000782394143590359,0.000322770718970034,"matcher",1,"reality",0,0,14,0.0101968050003055,0.0209343582391741,0.48708467122839,2.053031144417
14,"normal",59,0.0866501054292508,0.19519172724769,0.0734079384308989,"director",1,"luxury",0,0,14,1.24684389680624,2.28095238143578,0.546633023536158,1.82938087701146
15,"modified",0,0.0843381299866179,0.215714840084428,0.100596567560935,"director",1,"luxury",1,0,15,13.7440996440127,10.8520656526089,1.26649617538101,0.789579960396772
15,"modified",1,0.00770758772643775,0.00795228350748409,0.0126699688652103,"matcher",0,"fear",0,0,15,0.333200678229333,0.42685602605343,0.780592653944695,1.28107790272755
