Pair,Condtion,Game,X,Y,Z,Role,Success,Target,Introducer,Succ_Introducer,Participant
2,modified,42,0.003638290389889646,0.0015049653358772072,0.0012701988584028318,matcher,1,war,0,0,27
2,modified,43,0.29061074893739747,0.08535931035257938,0.09343516407060647,director,1,reality,0,0,27
2,modified,44,0.005182626025962834,0.0018687239609693595,0.002092132249718452,matcher,1,freedom,0,0,27
2,modified,45,0.22157620321888427,0.051354047145539206,0.13498647280108625,director,1,fear,0,0,27
2,modified,46,0.026777009409353743,0.0339042571531549,0.07076272688517493,matcher,1,anger,0,0,27
2,modified,47,0.36192760334267376,0.14074471497895105,0.10223545954240916,director,1,luxury,0,0,27
2,modified,48,0.006344554889677911,0.0023798465775252803,0.0021737716571049643,matcher,0,envy,0,0,27
2,modified,49,0.01585859215541771,0.011611138081033619,0.014750743845380518,director,1,death,0,0,27
2,modified,50,0.03932945406148033,0.06850989761909218,0.03539549134702617,matcher,1,anger,0,0,27
2,modified,51,0.020332278769520044,0.12692177322470752,0.06354252867560595,director,1,strength,0,0,27
2,modified,52,0.0033776301667247655,0.00283497288851521,0.0014920066963602409,matcher,1,freedom,0,0,27
2,modified,53,0.15771118719134436,0.09601092935382063,0.07956663567487714,director,0,envy,0,0,27
2,modified,54,0.0014125643698615373,0.0024343181839410035,0.0003748829020812236,matcher,1,luxury,0,0,27
2,modified,55,0.040260770694991094,0.12160824340685969,0.12222284207902455,director,1,war,0,0,27
2,modified,56,0.002789988688952413,0.0025146406558242246,0.0009499829776492626,matcher,1,death,0,0,27
2,modified,57,0.1831220599111874,0.04669770786328967,0.14116040141211536,director,1,fear,0,0,27
2,modified,58,0.0014385739449560874,0.0019889761349235206,0.000506520693052451,matcher,0,envy,0,0,27
2,modified,59,0.02418464342214477,0.09380850220294602,0.10744591406792087,director,1,luck,0,0,27
2,modified,60,0.003907567368446575,0.0028737546770791016,0.0013471759580204266,matcher,1,fear,0,0,27
2,modified,61,0.34993945176273417,0.10859230106075221,0.10730123061524939,director,1,luxury,0,0,27
2,modified,62,0.0687140787185397,0.039012244527557846,0.060780594566793654,matcher,1,envy,0,0,27
2,modified,63,0.027369434021842397,0.09157745816525881,0.10106281468043338,director,1,luck,0,0,27
2,modified,64,0.004213349404936663,0.003148974841776357,0.001023309935212674,matcher,1,luck,0,0,27
2,modified,65,0.2523673969906081,0.08929948636620497,0.09781670552064889,director,1,envy,0,0,27
2,modified,66,0.004711811658240337,0.0012310798154419342,0.0003826743717721256,matcher,1,luxury,0,0,27
2,modified,67,0.04437089002392095,0.10092782360257715,0.1403519225647567,director,1,war,0,0,27
2,modified,68,0.0032840770360304397,0.001493905468141612,0.0011271681248368835,matcher,0,war,0,0,27
2,modified,69,0.23177865992019706,0.06626319942961531,0.12302912950647536,director,0,fear,0,0,27
2,modified,70,0.009035335688736839,0.0021064901800508184,0.003401535316966348,matcher,0,war,0,0,27
2,modified,71,0.0037861303228865413,0.04932227188595204,0.012259795924887582,director,1,death,0,0,27
2,modified,72,0.0008145748386772846,0.001229212355857442,0.000899210077271019,matcher,1,luck,0,0,27
2,modified,73,0.19252675300880603,0.23843329414439837,0.08457185462674995,director,1,anger,0,0,27
